vocab_id,german,english
309,Grad,degree
310,sagen,say
311,Himmel,sky
312,treffen,hit
313,Ärger,trouble
314,still,silent
315,Kunst,art
316,erraten,guess
317,Obst,fruit
318,erste,first
319,Sohn,son
320,fließen,flow
321,Verfahren,method
322,Garten,garden
323,Angst,fear
324,bei,at
325,Pflege,care
326,auftreten,occur
327,zwanzig,twenty
328,Westen,west
329,Wissenschaft,science
330,Mine,mine
331,sanft,gentle
332,gesendet,sent
333,Brot,bread
334,Hals,neck
335,Finale,final
336,Sie,you
337,Plan,plan
338,eher,rather
339,Suche,search
340,einfach,simple
341,Boot,boat
342,statt,stead
343,Flüssigkeit,liquid
344,Rutsch,slip
345,Herz,heart
346,Molekül,molecule
347,Studie,study
348,Wort,word
349,Licht,light
350,Abdeckung,cover
351,Stahl,steel
352,alle,all
353,jeder,every
354,wenige,few
355,tausend,thousand
356,Anzahl,number
357,Motor,engine
358,Zuhause,home
359,Person,person
360,Ernte,crop
361,Vokal,vowel
362,Lastwagen,truck
363,drei,three
364,Jagd,hunt
365,Form,shape
366,Recht,right
367,nach unten,down
368,bleiben,stay
369,zehn,ten
370,Rolle,roll
371,Eisen,iron
372,Fraktion,fraction
373,bekam,got
374,Bauernhof,farm
375,Vorbei,gone
376,Rings,ring
377,genug,enough
378,nach,after
379,schwarz,black
380,Osten,east
381,entscheiden,decide
382,Metall,metal
383,Band,band
384,Fleisch,meat
385,Fett,fat
386,schlecht,bad
387,falsch,wrong
388,Stadt,city
389,weit,far
390,Name,name
391,Norden,north
392,Schule,school
393,Loch,hole
394,note,note
395,Paar,pair
396,die,who
397,Knochen,bone
398,insekt,insect
399,genau,exact
400,insbesondere,especially
401,Konsonant,consonant
402,Samen,seed
403,Geschichte,story
404,warum,why
405,zusammen,together
406,zwischen,between
407,erfinden,invent
408,über,over
409,Junge,boy
410,reich,rich
411,Schüler,student
412,Mann,man
413,Glas,glass
414,uns,us
415,Bild,picture
416,berühmt,famous
417,Leben,life
418,stark,strong
419,Tabelle,table
420,viel,deal
421,Industrie,industry
422,wiederum,turn
423,Grund,reason
424,Wiederholung,repeat
425,werfen,throw
426,müssen,need
427,während,while
428,Geschäft,shop
429,Farbe,color
430,Haupt-,main
431,beobachten,observe
432,gleich,same
433,unterlassen Sie,don’t
434,dünn,thin
435,Schulter,shoulder
436,Orgel,organ
437,ente,duck
438,Ozean,ocean
439,Schlag,blow
440,werden,will
441,Speiche,spoke
442,Partitur,score
443,berg,mountain
444,letzte,last
445,Firma,company
446,springen,jump
447,sa,sat
448,einreiben,rub
449,gefangen,caught
450,Handel,trade
451,Einheit,unit
452,Zorn,anger
453,Masse,mass
454,überqueren,cross
455,besondere,special
456,legen,lay
457,Blut,blood
458,Blick,sight
459,Basis,base
460,acht,eight
461,Quotient,quotient
462,modernen,modern
463,Koch,cook
464,Sauerstoff,oxygen
465,Elementes,element
466,Menschen,people
467,Büro,office
468,lesen,read
469,oh,oh
470,Ort,place
471,Front,front
472,wahrscheinlich,probable
473,dann,then
474,Macht,power
475,Gedanken,thought
476,Feind,enemy
477,Zelle,cell
478,lernen,learn
479,Problem,problem
480,Arbeit,job
481,Flügel,wing
482,Ufer,shore
483,Frage,question
484,Wunder,wonder
485,Gras,grass
486,Chef,chief
487,eingeben,enter
488,Unterstützung,support
489,Nation,nation
490,einmal,once
491,weich,soft
492,Werkzeug,tool
493,Pistole,gun
494,laut,loud
495,Tatsache,fact
496,warten,wait
497,kam,came
498,Mädchen,girl
499,Arzt,doctor
500,gehört,heard
501,Chance,chance
502,nach oben,up
503,Lüge,lie
504,Verwendung,use
505,zahlen,pay
506,kleiden,clothe
507,Wurzel,root
508,diskutieren,discuss
509,Körper,body
510,zurück,back
511,Kasten,box
512,schwierig,difficult
513,Melodie,melody
514,bald,soon
515,Musik,music
516,Saison,season
517,Wand,wall
518,Antwort,answer
519,schrieb,wrote
520,sein,be
521,Materie,matter
522,können,can
523,Sache,thing
524,begeistern,excite
525,Buch,book
526,schlagen,beat
527,Absatz,paragraph
528,vorschlagen,suggest
529,Raum,space
530,Fenster,window
531,Überraschung,surprise
532,mehr,more
533,andere,other
534,Speicher,store
535,Auto,car
536,Pose,pose
537,wenig,little
538,Regel,rule
539,schwimmen,swim
540,Fahrt,ride
541,getan,done
542,pleite,broke
543,Frühling,spring
544,Tanz,dance
545,Berg,mount
546,bedeuten,mean
547,bieten,provide
548,Gesetz,law
549,Frauen,women
550,produzieren,produce
551,Woche,week
552,Mantel,coat
553,Dauer,length
554,Satz,sentence
555,Hafen,port
556,Nacht,night
557,Zoll,inch
558,passieren,happen
559,Mond,moon
560,gewesen,been
561,Funk,radio
562,bauen,build
563,erhalten,get
564,wo,where
565,Block,block
566,Marke,mark
567,Ohr,ear
568,Suffix,suffix
569,braun,brown
570,Veränderung,change
571,vier,four
572,System,system
573,aus,out
574,Mensch,human
575,gerade,straight
576,glauben,believe
577,Blatt,sheet
578,einsam,lone
579,Meile,mile
580,variieren,vary
581,Reifen,tire
582,tat,did
583,Natur,nature
584,bestellen,order
585,beste,best
586,goldenen,gold
587,Veranstaltung,event
588,Partei,party
589,er,he
590,Prüfung,test
591,blau,blue
592,wahr,true
593,Prozess,process
594,Mannschaft,team
595,singen,sing
596,vorstellen,imagine
597,hat,has
598,Interesse,interest
599,riesig,huge
600,Bitte,please
601,Morgen,morning
602,gelb,yellow
603,Lächeln,smile
604,Futtermittel,feed
605,antworten,reply
606,direkt,direct
607,Million,million
608,Pferd,horse
609,gesamt,total
610,ich,I
611,oben,above
612,Ton,tone
613,ankommen,arrive
614,fiel,fell
615,Uhr,am
616,klein,small
617,Segel,sail
618,Zucker,sugar
619,Gebiss,teeth
620,Versuch,experiment
621,Lärm,noise
622,rot,red
623,Wetter,weather
624,Ursache,cause
625,Kolonie,colony
626,Freude,joy
627,Vortrag,talk
628,nächste,next
629,Silbe,syllable
630,überprüfen,check
631,Presse,press
632,Fluss,river
633,obere,top
634,Abbildung,figure
635,Lebensmittel,food
636,Liste,list
637,Position,position
638,Schließen,close
639,pflücken,pick
640,Füße,feet
641,Mutter,mother
642,Auge,eye
643,Sand,sand
644,Kontrolle,control
645,Runde,round
646,schützen,protect
647,Schiff,ship
648,scheinen,seem
649,Zentrum,center
650,Krieg,war
651,Kälte,cold
652,Getränk,drink
653,voll,full
654,Küste,coast
655,Maschine,machine
656,dritte,third
657,Kleid,dress
658,was,what
659,Angebot,offer
660,verloren,lost
661,bestimmen,determine
662,empfangen,receive
663,Finger,finger
664,Geld,money
665,aufladen,charge
666,Straße,road
667,erforderlich,necessary
668,arrangieren,arrange
669,Region,region
670,erreichen,reach
671,entweder,either
672,Zweig,branch
673,scharf,sharp
674,Papa,dad
675,Hügel,hill
676,Elternteil,parent
677,Stelle,spot
678,stand,stood
679,zählen,count
680,Besuch,visit
681,Monat,month
682,am wenigsten,least
683,Augenblick,instant
684,Seil,rope
685,Board,board
686,folgen,follow
687,Kapitän,captain
688,Mund,mouth
689,subtrahieren,subtract
690,Bereich,area
691,Dollar,dollar
692,Sinn,sense
693,regeln,settle
694,Platz,square
695,Anruf,call
696,senden,send
697,Wohnung,flat
698,Quart,quart
699,hatte,had
700,oft,often
701,Holz,wood
702,wieder,again
703,gegen,against
704,gemacht,made
705,Start,begin
706,Schnee,snow
707,Tag,day
708,Instrument,instrument
709,grün,green
710,Verbreitung,spread
711,waren,were
712,messen,measure
713,Meer,sea
714,Fall,case
715,Schwanz,tail
716,Nase,nose
717,Papier,paper
718,Praxis,practice
719,mehrere,several
720,blume,flower
721,Aufstieg,climb
722,trocken,dry
723,frisch,fresh
724,Bett,bed
725,Bank,bank
726,gemeint,meant
727,Lösung,solution
728,träumen,dream
729,tun,do
730,sechs,six
731,meine,my
732,oder,or
733,geben,give
734,und,and
735,würde,would
736,Silber,silver
737,bringen,bring
738,Punkt,point
739,Gewicht,weight
740,kurz,short
741,Cent,cent
742,verkaufen,sell
743,Arm,arm
744,klar,clear
745,drücken,push
746,ganz,quite
747,elektrisch,electric
748,Hand,held
749,Wasch,wash
750,begünstigen,favor
751,Rohr,tube
752,Aktie,share
753,Bein,leg
754,ihre,their
755,Teil,part
756,Übung,exercise
757,Hut,hat
758,Stern,star
759,Geschwindigkeit,speed
760,hier,here
761,sterben,die
762,dass,that
763,Schale,shell
764,Stuhl,chair
765,Fuß,foot
766,schreiben,write
767,diese,these
768,Muster,pattern
769,Eis,ice
770,winzig,tiny
771,Anspruch,claim
772,Hilfe,help
773,ähnlich,similar
774,mehreren,plural
775,kostenlos,free
776,lokalisieren,locate
777,lehren,teach
778,leben,live
779,Winter,winter
780,außer,except
781,Abschnitt,section
782,natürlich,natural
783,Feuer,fire
784,Flugzeug,plane
785,regieren,govern
786,stiegen,rose
787,tut,does
788,suchen,look
789,Jahr,year
790,fortsetzen,continue
791,gab,gave
792,verbringen,spend
793,gleichsetzen,equate
794,Schwester,sister
795,Wind,wind
796,Produkt,product
797,Kind,child
798,in der Nähe von,near
799,Gases,gas
800,hoffen,hope
801,Stimme,voice
802,Glanz,shine
803,jung,young
804,weniger,less
805,Kugel,ball
806,Ebene,level
807,töten,kill
808,Substanz,substance
809,sind,are
810,vollständig,complete
811,Säge,saw
812,Spaß,fun
813,Kluft,divide
814,je,ever
815,fragen,ask
816,bereit,ready
817,war,was
818,Schnitt,cut
819,Station,station
820,Ergebnis,result
821,kühlen,cool
822,kommen,come
823,Ausdruck,phrase
824,mit,with
825,wissen,know
826,Schlüssel,key
827,geschrieben,written
828,Tod,death
829,Kampf,fight
830,zwei,two
831,Hof,yard
832,erleichtern,ease
833,es,it
834,lief,ran
835,Süden,south
836,Wüste,desert
837,geboren,born
838,Geruch,smell
839,Rest,rest
840,besiedeln,populate
841,Rede,speech
842,Draht,wire
843,Fisch,fish
844,Minute,minute
845,Geist,mind
846,da,there
847,sprechen,speak
848,spielen,play
849,Haut,skin
850,seine,his
851,Kurs,course
852,spät,late
853,Sitz,seat
854,denken,think
855,Dur,major
856,wachsen,grow
857,beweisen,prove
858,obwohl,though
859,Temperatur,temperature
860,Lager,camp
861,Anzug,suit
862,Zahl,numeral
863,Stopp,stop
864,Erfolg,success
865,Nachbar,neighbor
866,Charakter,character
867,unsere,our
868,nehmen,take
869,danken,thank
870,Luft,air
871,tief,deep
872,Gegenteil,opposite
873,lange,long
874,protokollieren,log
875,passen,fit
876,seit,since
877,Männer,men
878,realen,real
879,Pause,break
880,setzen,put
881,Sommer,summer
882,Ihre,your
883,Liebe,love
884,Art,kind
885,multiplizieren,multiply
886,Immobilien,property
887,Finish,finish
888,Hund,dog
889,versuchen,try
890,beschreiben,describe
891,Welt,world
892,wünschen,wish
893,Geschicklichkeit,skill
894,fein,fine
895,aber,but
896,immer,always
897,Spur,track
898,wir,we
899,grau,gray
900,enthalten,contain
901,Eile,hurry
902,Ecke,corner
903,Tier,animal
904,Kosten,cost
905,vorwärts,forward
906,sauber,clean
907,Feige,fig
908,nicht,no
909,entwickeln,develop
